"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","68pF","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","2",""
"C3","220pF","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","1",""
"C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","0.1uF","~","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","13",""
"C17,C20,C21,C22","22uf 10V","~","Capacitor_Tantalum_SMD:CP_EIA-3528-12_Kemet-T_Pad1.50x2.35mm_HandSolder","4",""
"C18,C19","100uF 16V","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2",""
"D1,D2","LED","~","LED_THT:LED_D3.0mm","2",""
"H1,H2,H3,H4,H5,H6,H7,H8","MountingHole","~","MountingHole:MountingHole_3.2mm_M3","8",""
"J1","Barrel_Jack","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J2","MICRO USB","~","RAHMB20AUETR:SWITCHCRAFT_RAHMB20AUETR","1",""
"J4","USB-C","","USB4125_GF_A:GCT_USB4125-GF-A_REVA2","1",""
"JP1,JP2","Plug / Reg","~","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels","2",""
"JP3","+12V","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"JP4","-12V","~","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","1",""
"P1","PCB EDGE","","Tersteeg:CoCo 40p PCB Cart Connector","1",""
"P2","SLOT1","","Tersteeg:Coco 40p Cart Edge Connector","1",""
"P3","SLOT2","","Tersteeg:Coco 40p Cart Edge Connector","1",""
"P4","SLOT3","","Tersteeg:Coco 40p Cart Edge Connector","1",""
"P5","SLOT4","","Tersteeg:Coco 40p Cart Edge Connector","1",""
"R1,R2,R3,R4","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R5,R6","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R7,R8","470R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R9,R10","5.1K","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","2",""
"SW1","~","","Tersteeg:SK24D02VG4 2P4T Slide Switch","1",""
"U1,U3,U6,U7,U9","74LS367","http://www.ti.com/lit/gpn/sn74LS367","Package_DIP:DIP-16_W7.62mm_Socket","5",""
"U2","74LS245","http://www.ti.com/lit/gpn/sn74LS245","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U4","74LS374","http://www.ti.com/lit/gpn/sn74LS374","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U8","GAL16V8","","Package_DIP:DIP-20_W7.62mm_Socket","1",""
"U10","74LS30","http://www.ti.com/lit/gpn/sn74LS30","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U11","74LS153","http://www.ti.com/lit/gpn/sn74LS153","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U12","74LS368","http://www.ti.com/lit/gpn/sn74LS368","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U13","74LS139","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf","Package_DIP:DIP-16_W7.62mm_Socket","1",""
"U14","74LS74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm_Socket","1",""
"U15,U16","AMS1117-5.0","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Tersteeg:SOT-223-3_TabPin2_Ext_Thermal","2",""
